start datetime,delta s,action,experiment,param,experiment id,,packet datetime
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T10:42:00
,10,Queue,tt_um_CKPope_top,,14,Queue tt_um_CKPope_top,2026-01-10T10:42:10
,40,Abort,,,,abort rp2 temp auto-starting tt_um_CKPope_top,2026-01-10T10:42:50
,240,Abort,,,,ensure tt_um_CKPope_top is done,2026-01-10T10:46:50
,0,Ping,,0x4c503236,,Ping LP26,2026-01-10T10:46:50
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T10:47:00
,0,Queue,tt_contributors,0x01,128,Queue tt_contributors,2026-01-10T10:47:00
,40,Abort,,,,abort osc bones auto-launching contrib loto,2026-01-10T10:47:40
,10,Queue,tt_um_PAL,,15,Queue tt_um_PAL,2026-01-10T10:47:50
,240,Abort,,,,ensure tt_um_PAL is done,2026-01-10T10:51:50
,0,Ping,,0x4c503237,,Ping LP27,2026-01-10T10:51:50
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T10:52:00
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T10:52:00
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T10:52:40
,10,Queue,tt_um_dlmiles_muldiv8,,16,Queue tt_um_dlmiles_muldiv8,2026-01-10T10:52:50
,40,Abort,,,,abort rp2 temp auto-starting tt_um_dlmiles_muldiv8,2026-01-10T10:53:30
,240,Abort,,,,ensure tt_um_dlmiles_muldiv8 is done,2026-01-10T10:57:30
,0,Ping,,0x4c503238,,Ping LP28,2026-01-10T10:57:30
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,2026-01-10T10:57:40
,0,Queue,rp2_temperature,0x000000000F0000,13,Queue rp2_temperature,2026-01-10T10:57:40
,40,Abort,,,,abort osc bones auto-launching rp temp,2026-01-10T10:58:20
,10,Queue,tt_um_dlmiles_muldiv8_sky130faha,,17,Queue tt_um_dlmiles_muldiv8_sky130faha,2026-01-10T10:58:30
,40,Abort,,,,abort rp2 temp auto-starting tt_um_dlmiles_muldiv8_sky130faha,2026-01-10T10:59:10
,240,Abort,,,,ensure tt_um_dlmiles_muldiv8_sky130faha is done,2026-01-10T11:03:10
,0,Ping,,0x4c503239,,Ping LP29,
,10,Run,tt_um_oscillating_bones,0x20,3,Run tt_um_oscillating_bones,
,0,Queue,tt_contributors,0x01,128,Queue tt_contributors,
,40,Abort,,,,abort osc bones auto-launching contrib loto,
,10,Queue,tt_um_ttrpg_SEU,,18,Queue tt_um_ttrpg_SEU,
,240,Abort,,,,ensure tt_um_ttrpg_SEU is done,
,0,Ping,,0x4c503330,,Ping LP30,
,,,,,,,
,,,,,,,
